profile_id,knowledge_id,rule_type,category,observed_property,min_value,min_inclusive,max_value,max_exclusive,inferred_property,state_uri,state_class,confidence,priority,condition_expression,description
STH_profile_v1,STH_Need_Charge,threshold,battery_condition,mis:hasBatteryLevel,0,TRUE,1.22,TRUE,mis:hasBatteryState,mis:Need_Charge,mis:BatteryState,0.92,10,,Battery level indicates need charge.
STH_profile_v1,STH_Low_Battery,threshold,battery_condition,mis:hasBatteryLevel,1.22,TRUE,1.58,TRUE,mis:hasBatteryState,mis:Low_Battery,mis:BatteryState,0.93,10,,Battery level indicates low battery.
STH_profile_v1,STH_Normal_Battery,threshold,battery_condition,mis:hasBatteryLevel,1.58,TRUE,9.99,TRUE,mis:hasBatteryState,mis:Normal_Battery,mis:BatteryState,0.9,10,,Battery level indicates normal battery.
STH_profile_v1,STH_Comm_Fail,threshold,communication_quality,mis:hasCommScore,0,TRUE,0.4,TRUE,mis:hasCommunicationState,mis:Comm_Fail,mis:CommunicationState,0.91,10,,Communication score indicates fail.
STH_profile_v1,STH_Comm_Unstable,threshold,communication_quality,mis:hasCommScore,0.4,TRUE,0.7,TRUE,mis:hasCommunicationState,mis:Comm_Unstable,mis:CommunicationState,0.89,10,,Communication score indicates unstable communication.
STH_profile_v1,STH_Comm_Stable,threshold,communication_quality,mis:hasCommScore,0.7,TRUE,1,TRUE,mis:hasCommunicationState,mis:Comm_Stable,mis:CommunicationState,0.88,10,,Communication score indicates stable communication.
STH_profile_v1,STH_Light_Load,threshold,load_state,mis:hasMaxTorque,0,TRUE,0.32,TRUE,mis:hasLoadState,mis:Light_Load,mis:LoadState,0.91,10,,Maximum torque indicates light load.
STH_profile_v1,STH_Normal_Load,threshold,load_state,mis:hasMaxTorque,0.32,TRUE,0.72,TRUE,mis:hasLoadState,mis:Normal_Load,mis:LoadState,0.88,10,,Maximum torque indicates normal load.
STH_profile_v1,STH_Heavy_Load,threshold,load_state,mis:hasMaxTorque,0.72,TRUE,1,TRUE,mis:hasLoadState,mis:Heavy_Load,mis:LoadState,0.92,10,,Maximum torque indicates heavy load.
STH_profile_v1,STH_STH_Available,composite,sth_availability,,,,,,mis:hasSTHState,mis:STH_Available,mis:STHState,,100,(STH_Normal_Battery) and (STH_Comm_Stable) and (STH_Normal_Load or STH_Light_Load),STH is available only when battery and communication are normal/stable and the load is normal or light.
STH_profile_v1,STH_STH_Check,composite,sth_availability,,,,,,mis:hasSTHState,mis:STH_Check,mis:STHState,,90,(STH_Low_Battery) or (STH_Comm_Unstable) or (STH_Heavy_Load),STH should be checked when battery is low communication is unstable or load is heavy.
STH_profile_v1,STH_STH_NA,composite,sth_availability,,,,,,mis:hasSTHState,mis:STH_NA,mis:STHState,,100,(STH_Need_Charge) or (STH_Comm_Fail) or (STH_Heavy_Load),STH is not available when charging is needed communication fails or the referenced STH-3 heavy-load condition is active.
