Time,Spindle_Override,Feed_Override,Offset_X,Offset_Y,Offset_Z,G54_X,G54_Y,G54_Z,Status,TimeInSeconds,NC_Line,CH1,CH2,BendingX,BendingY,Torque
2025-10-16 14:13:30.284,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760624010.284,,0.0055,0.0,0.1,0.0,0.0055
2025-10-16 14:13:30.387,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760624010.387,,-0.0055,0.0,0.1,-0.0,0.0055
2025-10-16 14:13:30.467,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760624010.467,,0.0055,0.0,-0.1,0.1,0.0055
2025-10-16 14:13:30.549,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760624010.549,,0.0,0.0055,-0.0,0.1,0.0055
2025-10-16 14:13:30.627,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760624010.627,,-0.0055,-0.0,0.1,0.0,0.0055
2025-10-16 14:13:30.707,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760624010.707,,0.0,0.0055,0.1,0.1,0.0055
2025-10-16 14:13:30.788,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760624010.788,,0.0,-0.0,-0.0,-0.0,0.0
2025-10-16 14:13:30.882,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760624010.882,,-0.0,-0.0,-0.0,-0.1,0.0055
2025-10-16 14:13:30.980,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760624010.98,,0.0055,0.0,0.0,0.0,0.0055
2025-10-16 14:13:31.075,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760624011.075,,-0.0,0.0,-0.0,0.1,0.0
2025-10-16 14:13:31.178,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760624011.178,,-0.0055,-0.0055,-0.0,-0.0,0.0055
2025-10-16 14:13:31.275,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760624011.275,,0.0055,-0.0,-0.0,0.0,0.0055
2025-10-16 14:13:31.377,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760624011.377,,0.0,0.011,-0.1,-0.0,0.011
2025-10-16 14:13:31.473,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760624011.473,,-0.0,0.0055,-0.1,0.0,0.0055
2025-10-16 14:13:31.580,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760624011.58,,0.0055,0.0,0.0,-0.1,0.0055
2025-10-16 14:13:31.684,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760624011.684,,-0.0,0.0,-0.0,-0.0,0.0
2025-10-16 14:13:31.791,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760624011.791,,-0.0,0.0,-0.0,-0.0,0.0
2025-10-16 14:13:31.874,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760624011.874,,-0.0055,0.0,0.0,-0.1,0.0055
