"section","Ra_Measured","Ra_Tolerance","Time","Spindle_Override","Feed_Override","Offset_X","Offset_Y","Offset_Z","G54_X","G54_Y","G54_Z","Status","TimeInSeconds","NC_Line","CH1","CH2","BendingX","BendingY","Torque"
"Section 1","0.293","0.8","2025-10-16 15:22:18.281","100%","110%","30.04","-1.7599999999999998","6.38","30.995","-23.032","0.0","Start","1760628138.281","","-0.0055","0.0055","0.1","-0.1","0.0055"
"Section 1","0.293","0.8","2025-10-16 15:22:27.085","100%","110%","30.46","-2.2","6.35","30.995","-23.032","0.0","Start","1760628147.085","","-0.0","0.0","-0.0","0.1","0.0"
"Section 1","0.293","0.8","2025-10-16 15:22:35.783","100%","110%","30.08","-1.7799999999999998","6.32","30.995","-23.032","0.0","Start","1760628155.783","","-0.0055","-0.0055","0.1","0.1","0.0055"
"Section 1","0.293","0.8","2025-10-16 15:22:44.579","100%","110%","30.23","-1.91","6.29","30.995","-23.032","0.0","Start","1760628164.579","","0.0","0.0","-0.1","0.0","0.0"
"Section 1","0.293","0.8","2025-10-16 15:22:53.287","100%","110%","30.19","-1.88","6.26","30.995","-23.032","0.0","Start","1760628173.287","","0.0055","0.0055","-0.0","-0.1","0.0055"
"Section 1","0.293","0.8","2025-10-16 15:23:02.091","100%","110%","30.57","-2.39","6.23","30.995","-23.032","0.0","Start","1760628182.091","","0.0","0.0055","0.0","-0.0","0.0055"
"Section 1","0.293","0.8","2025-10-16 15:23:10.779","100%","110%","29.94","-1.7000000000000002","6.2","30.995","-23.032","0.0","Start","1760628190.779","","-0.0055","0.0055","0.1","-0.1","0.0055"
"Section 1","0.293","0.8","2025-10-16 15:23:19.579","100%","110%","30.4","-2.1","6.17","30.995","-23.032","0.0","Start","1760628199.579","","-0.0055","0.0055","-0.1","-0.1","0.0055"
"Section 1","0.293","0.8","2025-10-16 15:23:28.283","100%","110%","29.97","-1.7199999999999998","6.14","30.995","-23.032","0.0","Start","1760628208.283","","0.0","0.0","0.2","0.0","0.0055"
"Section 1","0.293","0.8","2025-10-16 15:23:37.092","100%","110%","30.41","-2.12","6.109999999999999","30.995","-23.032","0.0","Start","1760628217.092","","0.0","-0.0055","-0.0","0.1","0.0055"
